size,clauses,kappa,time_encoding,time_iteration,tot_time,memory (MB),formula
5,9,6,0.16037440299987793,14.072338581085205,14.232712984085083,3.2021799087524414,[(x_1 v x_2 v -x_0) ^ (x_3 v x_1 v -x_2) ^ (x_1 v -x_4 v -x_2) ^ (-x_4 v -x_2 v -x_0) ^ (x_3 v x_1) ^ (x_3 v x_0) ^ (x_1 v x_2) ^ (x_1 v -x_0) ^ (-x_1 v -x_2 v x_3)]
5,8,1,0.02470231056213379,0.047472476959228516,0.0721747875213623,0.5768804550170898,[(-x_2 v x_4) ^ (-x_1 v x_3 v -x_0) ^ (x_1 v -x_3) ^ (x_0 v -x_4 v -x_2) ^ (-x_0 v -x_4 v -x_3) ^ (x_0 v -x_1 v -x_2) ^ (x_4 v x_2) ^ (x_0 v x_1 v -x_2)]
5,8,6,0.12787103652954102,4.5516746044158936,4.679545640945435,2.2895631790161133,[(-x_1 v x_2 v x_0) ^ (-x_1 v -x_4 v -x_2) ^ (-x_1 v -x_4) ^ (x_0 v x_4 v x_3) ^ (-x_1 v -x_0) ^ (-x_1 v -x_2 v -x_0) ^ (-x_4 v x_2) ^ (x_3 v x_4)]
5,11,1,0.03917717933654785,0.028922080993652344,0.0680992603302002,0.8547401428222656,[(x_1 v x_4 v x_2) ^ (x_1 v -x_2) ^ (x_0 v -x_2 v x_4) ^ (x_0 v -x_4 v -x_2) ^ (-x_1 v -x_4) ^ (-x_1 v x_2) ^ (x_0 v x_1 v x_2) ^ (x_0 v x_2) ^ (-x_2 v -x_3 v x_4) ^ (x_3 v -x_4 v -x_2) ^ (x_0 v -x_1 v x_3)]
5,14,6,0.297961950302124,inf,inf,6.317071914672852,[(-x_1 v -x_3) ^ (-x_1 v x_3 v -x_0) ^ (x_3 v -x_0) ^ (x_0 v x_4 v -x_3) ^ (x_0 v -x_4 v -x_2) ^ (-x_1 v -x_2 v x_4) ^ (x_3 v -x_4) ^ (x_3 v x_2) ^ (x_1 v -x_4 v x_2) ^ (x_1 v x_2 v -x_3) ^ (x_1 v -x_2 v -x_0) ^ (x_3 v x_1 v -x_0) ^ (x_4 v x_2) ^ (x_0 v x_1 v -x_3)]
5,6,1,0.029474735260009766,0.06563258171081543,0.0951073169708252,0.5968685150146484,[(x_3 v x_1 v -x_2) ^ (x_3 v -x_2 v x_4) ^ (x_1 v -x_3) ^ (x_0 v x_1 v -x_4) ^ (x_0 v -x_4 v -x_2) ^ (x_0 v -x_1 v -x_3)]
5,5,6,0.08256340026855469,6.886440277099609,6.969003677368164,1.812983512878418,[(-x_1 v -x_2) ^ (x_3 v -x_2 v x_4) ^ (-x_4 v -x_2 v -x_0) ^ (x_3 v -x_4) ^ (x_0 v x_1 v -x_3)]
5,6,1,0.020841598510742188,0.010013103485107422,0.03085470199584961,0.44010066986083984,[(-x_1 v x_4) ^ (x_1 v -x_2 v -x_3) ^ (x_3 v -x_1 v -x_0) ^ (x_3) ^ (-x_1 v -x_4 v -x_3) ^ (x_4 v -x_3 v -x_0)]
5,12,6,0.23215770721435547,84.23838663101196,84.47054433822632,4.571938514709473,[(x_0 v -x_2) ^ (x_1 v -x_0) ^ (x_0 v -x_4 v -x_2) ^ (-x_1 v x_4 v -x_3) ^ (x_1 v x_2) ^ (x_0 v x_2) ^ (-x_2 v -x_3 v x_4) ^ (x_4 v x_2 v -x_0) ^ (-x_4 v -x_2 v -x_3) ^ (x_0 v -x_4) ^ (x_0 v -x_1 v -x_4) ^ (x_3 v x_4 v -x_0)]
5,14,1,0.02750372886657715,0.03427553176879883,0.06177926063537598,0.6592330932617188,[(-x_0 v -x_3) ^ (x_1 v -x_2) ^ (x_3 v -x_2 v x_4) ^ (x_0 v -x_1) ^ (-x_1 v -x_3 v -x_0) ^ (x_0 v x_4) ^ (x_0 v -x_2 v -x_3) ^ (x_3 v x_0) ^ (-x_0 v -x_2 v -x_3) ^ (-x_1 v -x_0) ^ (x_1 v -x_0) ^ (x_0 v -x_4) ^ (x_3 v -x_2 v -x_0) ^ (-x_1 v x_4 v -x_0)]
5,11,6,0.2521476745605469,34.990013122558594,35.24216079711914,4.849573135375977,[(x_1 v x_2 v -x_0) ^ (-x_1 v -x_4 v -x_0) ^ (x_0 v -x_1 v x_4) ^ (-x_1) ^ (x_1 v -x_4) ^ (x_3 v x_1 v x_0) ^ (x_4 v -x_0) ^ (-x_1 v x_4 v x_2) ^ (-x_2 v -x_3 v x_4) ^ (-x_1 v -x_4 v x_2) ^ (-x_4 v -x_3 v -x_0)]
5,15,1,0.041695594787597656,0.047028541564941406,0.08872413635253906,0.9461650848388672,[(-x_2 v -x_0) ^ (-x_1 v x_0) ^ (-x_1 v x_2 v -x_3) ^ (x_1 v -x_2 v -x_3) ^ (x_4 v x_2) ^ (x_1 v -x_4) ^ (-x_0 v x_1 v -x_3) ^ (x_3 v x_1) ^ (-x_1 v -x_3 v x_0) ^ (-x_1 v x_4 v x_2) ^ (x_1 v -x_0) ^ (x_0 v -x_4 v x_2) ^ (x_3 v x_4) ^ (x_3 v -x_4 v -x_2) ^ (-x_1 v -x_0 v -x_3)]
5,12,6,0.3374345302581787,inf,inf,6.609235763549805,[(-x_1 v x_4 v -x_0) ^ (x_3 v -x_2) ^ (x_1 v -x_4 v -x_2) ^ (x_0 v -x_1 v x_4) ^ (x_0 v -x_3) ^ (x_0 v -x_4 v -x_2) ^ (x_1 v -x_4 v x_2) ^ (x_0 v x_1 v -x_2) ^ (-x_1 v -x_4 v x_2) ^ (x_3 v -x_4 v -x_2) ^ (x_0 v x_1 v x_4) ^ (x_1 v x_4 v -x_3)]
5,15,1,0.0318450927734375,0.17492008209228516,0.20676517486572266,0.7884931564331055,[(-x_2 v x_4) ^ (x_3 v -x_0) ^ (x_1 v x_2 v -x_0) ^ (x_1 v -x_3) ^ (-x_1 v -x_2 v x_0) ^ (x_0 v -x_1) ^ (-x_4 v -x_2) ^ (x_0 v -x_2 v -x_3) ^ (-x_0 v -x_2 v x_4) ^ (x_3 v -x_2 v -x_0) ^ (x_4) ^ (x_0 v x_1) ^ (x_0 v -x_4) ^ (x_3 v -x_1 v x_0) ^ (x_3 v x_4)]
5,13,6,0.3557431697845459,inf,inf,7.100903511047363,[(x_1 v x_4 v x_2) ^ (x_3 v x_4 v -x_0) ^ (x_3 v -x_1 v x_2) ^ (x_0 v -x_1) ^ (x_0 v -x_4 v -x_2) ^ (x_3 v x_1) ^ (x_1 v -x_4 v -x_3) ^ (x_4 v x_2 v -x_0) ^ (-x_4 v -x_2 v -x_3) ^ (x_4 v -x_3 v -x_0) ^ (x_0 v -x_4 v x_2) ^ (x_3 v -x_2 v -x_0) ^ (x_0 v x_1 v -x_2)]
5,10,1,0.03776741027832031,0.011456012725830078,0.04922342300415039,0.8012027740478516,[(x_3 v -x_2) ^ (x_2 v -x_3) ^ (-x_1 v -x_4 v x_3) ^ (-x_1 v x_2 v -x_3) ^ (x_0 v x_1 v -x_4) ^ (x_0 v -x_3) ^ (-x_1 v x_4 v -x_3) ^ (-x_0 v -x_2 v -x_3) ^ (x_4 v x_2 v -x_0) ^ (x_3 v -x_4 v -x_2)]
5,7,6,0.14300203323364258,36.525187492370605,36.66818952560425,2.8031177520751953,[(-x_1 v x_3 v -x_0) ^ (x_2 v -x_0) ^ (-x_0 v -x_3) ^ (x_1 v -x_4 v -x_3) ^ (x_1 v x_2) ^ (-x_1 v x_4 v x_0) ^ (x_3 v x_1 v x_2)]
5,11,1,0.040625572204589844,0.04666852951049805,0.08729410171508789,0.8081436157226562,[(-x_2 v x_4) ^ (x_0 v -x_4 v x_3) ^ (x_3 v -x_2 v x_0) ^ (x_0 v -x_1 v -x_2) ^ (x_1 v x_2) ^ (-x_1 v x_4 v x_0) ^ (-x_4 v -x_2 v -x_3) ^ (-x_0 v x_4 v -x_3) ^ (-x_4 v x_2) ^ (-x_2 v -x_3) ^ (x_0 v x_1 v -x_2)]
5,15,6,0.276735782623291,inf,inf,6.305560111999512,[(x_3 v -x_2) ^ (x_1 v x_4 v x_2) ^ (x_1 v -x_2) ^ (x_3 v x_1 v -x_2) ^ (-x_1 v -x_2 v x_4) ^ (x_1 v x_4 v -x_0) ^ (x_0 v -x_4) ^ (x_3 v x_2) ^ (x_3 v -x_4 v -x_0) ^ (x_1 v -x_0) ^ (-x_1 v x_3 v x_0) ^ (-x_1 v -x_4 v x_2) ^ (-x_4 v x_2) ^ (x_3 v x_4 v -x_0) ^ (-x_1 v x_4 v -x_0)]
