size,clauses,kappa,time_iteration,memory (MB),formula
10,28,1,0.04880261421203613,0.18938922882080078,[(x_6 v x_2 v -x_8) ^ (x_4 v x_2 v -x_8) ^ (-x_0 v -x_8 v -x_3) ^ (-x_4 v -x_7) ^ (x_9 v x_8) ^ (x_3 v x_5) ^ (x_1 v -x_2) ^ (x_9 v -x_5 v x_2) ^ (-x_4 v x_5 v -x_7) ^ (-x_1 v x_6 v x_3) ^ (x_0 v x_6 v x_4) ^ (-x_5 v -x_2 v x_7) ^ (-x_5 v -x_2) ^ (x_6 v x_2) ^ (-x_9 v -x_5 v -x_8) ^ (x_0 v x_4 v -x_2) ^ (-x_5 v -x_8) ^ (x_0 v x_9 v x_4) ^ (x_1 v x_9) ^ (-x_9 v -x_8 v -x_3) ^ (x_3 v -x_1 v -x_8) ^ (x_3 v -x_9) ^ (-x_0 v -x_5 v -x_6) ^ (x_5 v -x_8 v -x_6) ^ (x_0 v -x_3) ^ (-x_4 v x_9 v x_7) ^ (x_1 v x_5 v -x_3) ^ (x_3 v x_4)]
10,19,32,0.9718992710113525,1.9449195861816406,[(-x_1 v -x_2 v x_8) ^ (-x_9 v -x_7) ^ (x_6 v -x_7) ^ (x_0 v -x_2 v -x_8) ^ (x_3 v x_6 v -x_8) ^ (x_1 v x_9 v x_7) ^ (x_0 v x_9 v -x_8) ^ (x_1 v x_8 v -x_0) ^ (x_0 v -x_7 v -x_3) ^ (x_8 v x_4 v -x_3) ^ (-x_7 v x_4) ^ (x_3 v x_9 v -x_0) ^ (-x_1 v x_6) ^ (-x_1 v x_7 v x_3) ^ (x_5 v -x_8 v -x_3) ^ (x_1 v -x_3 v -x_6) ^ (x_8 v -x_3 v -x_0) ^ (x_3 v -x_9 v x_4) ^ (-x_7 v -x_2 v -x_6)]
11,24,1,0.041733503341674805,0.19913196563720703,[(-x_4 v -x_5 v -x_0) ^ (x_9 v x_4 v -x_3) ^ (-x_7 v x_5 v x_8) ^ (-x_4 v -x_2 v -x_0) ^ (-x_1 v -x_5 v x_2) ^ (x_7 v x_5 v x_8) ^ (x_0 v -x_2 v -x_8) ^ (-x_4 v x_9 v -x_0) ^ (-x_1 v x_7 v x_0) ^ (x_3 v -x_9 v -x_8) ^ (x_3 v x_1) ^ (x_8 v -x_2 v -x_3) ^ (x_6 v -x_2 v -x_8) ^ (x_2 v x_5) ^ (-x_1 v -x_9 v x_2) ^ (-x_9 v -x_4 v -x_8) ^ (x_6 v x_10 v x_4) ^ (x_8 v -x_5 v x_4) ^ (x_0 v -x_5 v x_7) ^ (x_3 v -x_10 v -x_6) ^ (x_1 v -x_7 v -x_3) ^ (-x_9 v -x_10 v -x_3) ^ (x_1 v x_10 v -x_3) ^ (-x_8 v -x_3)]
11,29,46,inf,4.253833770751953,[(x_0 v -x_4 v x_10) ^ (-x_0 v x_10 v -x_6) ^ (x_3 v x_10 v x_5) ^ (x_0 v x_10 v -x_5) ^ (x_9 v -x_10 v x_7) ^ (x_0 v x_1 v x_3) ^ (-x_1 v -x_10 v -x_5) ^ (x_0 v x_9 v -x_8) ^ (-x_7 v -x_5 v x_8) ^ (-x_9 v -x_3) ^ (x_3 v -x_9 v -x_8) ^ (-x_10 v -x_6 v -x_3) ^ (-x_9 v x_8) ^ (-x_1 v x_9 v x_10) ^ (x_3 v x_1 v x_10) ^ (x_6 v -x_4 v x_8) ^ (x_0 v x_4 v x_7) ^ (x_0 v -x_6 v x_8) ^ (x_0 v -x_1 v x_10) ^ (x_0 v -x_9 v -x_8) ^ (x_0 v -x_10 v -x_8) ^ (x_0 v x_7 v -x_6) ^ (-x_10 v -x_2 v -x_7) ^ (-x_9 v -x_4 v -x_0) ^ (-x_4 v x_2 v x_5) ^ (-x_1 v -x_2 v x_5) ^ (x_9 v -x_2 v -x_6) ^ (-x_1 v -x_4 v -x_8) ^ (x_3 v x_4 v -x_0)]
12,31,1,0.1467134952545166,0.2082052230834961,[(x_1 v -x_7 v -x_6) ^ (x_11 v -x_9 v -x_2) ^ (-x_2 v x_8) ^ (x_11 v x_2 v -x_0) ^ (-x_9 v -x_4 v -x_7) ^ (x_6 v x_5 v x_2) ^ (x_0 v -x_7 v -x_8) ^ (x_11 v x_2 v x_0) ^ (-x_3 v -x_6) ^ (x_6 v -x_2) ^ (x_1 v -x_5 v x_2) ^ (x_3 v x_9 v x_4) ^ (-x_4 v -x_8) ^ (x_3 v x_10 v -x_6) ^ (x_6 v -x_4 v x_7) ^ (x_1 v -x_10 v x_4) ^ (x_3 v -x_2 v x_8) ^ (x_9 v x_2 v -x_8) ^ (-x_10 v -x_5 v x_2) ^ (x_10 v x_2) ^ (-x_1 v -x_2 v x_4) ^ (x_1 v x_9 v x_5) ^ (-x_10 v -x_2 v x_7) ^ (x_6 v x_9 v x_5) ^ (x_0 v -x_4 v -x_7) ^ (-x_2 v x_7) ^ (x_1 v x_2 v -x_8) ^ (x_0 v -x_7 v x_10) ^ (x_3 v x_1 v x_0) ^ (x_9 v -x_2 v -x_0) ^ (x_0 v -x_4 v x_2)]
12,23,64,inf,4.714405059814453,[(-x_5 v x_2 v x_8) ^ (x_0 v -x_9) ^ (x_3 v -x_5 v x_8) ^ (x_1 v x_8 v -x_11) ^ (-x_9 v -x_8 v -x_11) ^ (-x_11 v -x_7 v -x_6) ^ (x_3 v -x_4 v x_10) ^ (-x_4 v x_9 v -x_8) ^ (x_4 v x_8) ^ (x_10 v x_2 v -x_3) ^ (-x_1 v x_10 v -x_6) ^ (-x_1 v x_11 v -x_0) ^ (-x_1 v x_9 v x_10) ^ (-x_1 v -x_8 v -x_0) ^ (x_0 v x_1 v -x_8) ^ (x_5 v -x_10 v x_2) ^ (x_6 v -x_11 v -x_0) ^ (x_0 v x_6 v -x_10) ^ (x_0 v x_1) ^ (x_3 v -x_2 v -x_11) ^ (x_10 v x_5 v x_8) ^ (x_4 v -x_0) ^ (x_6 v -x_9 v -x_3)]
13,38,1,0.16257143020629883,0.224273681640625,[(-x_4 v x_5 v -x_11) ^ (x_1 v -x_4 v x_5) ^ (x_1 v x_12 v -x_5) ^ (x_3 v x_6 v -x_8) ^ (-x_1 v -x_7 v x_2) ^ (x_11 v -x_7 v x_10) ^ (-x_1 v -x_12 v -x_8) ^ (x_12 v -x_8 v -x_3) ^ (-x_9 v -x_7 v -x_0) ^ (x_1 v -x_10 v x_7) ^ (-x_11 v x_8) ^ (x_4 v -x_11) ^ (x_3 v -x_7 v x_4) ^ (x_9 v x_10 v -x_0) ^ (x_3 v x_10 v -x_6) ^ (x_8 v -x_11 v -x_0) ^ (x_6 v x_5 v -x_0) ^ (-x_2 v x_7 v -x_0) ^ (x_6 v -x_12 v -x_3) ^ (x_3 v x_9 v -x_0) ^ (x_11 v -x_12 v -x_10) ^ (-x_7 v -x_6 v -x_11) ^ (-x_0 v x_4 v x_8) ^ (-x_7 v x_2 v -x_11) ^ (x_12 v x_4 v x_2) ^ (-x_1 v x_12 v x_7) ^ (x_6 v x_9 v -x_5) ^ (-x_1 v x_9 v -x_8) ^ (x_6 v x_4 v -x_11) ^ (-x_4 v -x_5 v -x_3) ^ (x_9 v -x_10 v x_4) ^ (-x_1 v x_4) ^ (-x_1 v -x_9 v -x_0) ^ (-x_1 v -x_11) ^ (-x_12 v -x_4 v x_8) ^ (x_6 v -x_10 v x_5) ^ (-x_7 v x_5 v -x_3) ^ (-x_1 v -x_12)]
13,35,91,inf,9.736907958984375,[(x_9 v x_4 v x_7) ^ (-x_10 v x_7 v -x_8) ^ (x_3 v x_6 v x_10) ^ (-x_9 v -x_5) ^ (-x_2 v -x_10 v -x_5) ^ (x_3 v -x_10 v -x_2) ^ (x_11 v -x_7 v -x_10) ^ (x_12 v x_7 v x_2) ^ (-x_2 v -x_8 v x_4) ^ (-x_1 v -x_4 v -x_3) ^ (-x_7 v -x_5 v -x_3) ^ (-x_0 v x_8 v -x_11) ^ (-x_3 v -x_8 v -x_6) ^ (-x_9 v -x_3 v x_8) ^ (-x_2 v -x_5 v -x_6) ^ (-x_1 v -x_4 v x_7) ^ (-x_4 v x_9 v x_8) ^ (x_3 v x_9 v -x_7) ^ (x_2 v x_5 v -x_0) ^ (-x_12 v x_4 v -x_3) ^ (x_6 v -x_5 v -x_3) ^ (-x_12 v -x_9 v -x_2) ^ (x_2) ^ (x_0 v -x_1 v x_5) ^ (x_3 v x_9 v -x_2) ^ (x_11 v x_9 v -x_3) ^ (-x_1 v -x_10 v -x_11) ^ (x_11 v -x_5 v -x_6) ^ (x_1 v x_5 v x_8) ^ (-x_1 v x_10 v x_7) ^ (x_9 v -x_5 v -x_11) ^ (-x_4 v x_2 v x_5) ^ (x_9 v -x_2 v x_5) ^ (x_12 v -x_10 v x_2) ^ (-x_1 v -x_7 v x_8)]
5,11,1,0.1472320556640625,1.337259292602539,[(-x_1 v x_2 v -x_3) ^ (x_3 v x_2 v -x_0) ^ (x_3 v x_4 v -x_2) ^ (x_3 v x_1 v -x_4) ^ (-x_2) ^ (-x_1 v x_2 v -x_0) ^ (x_4 v -x_3) ^ (x_3 v x_1 v x_2) ^ (x_0 v -x_1 v -x_4) ^ (-x_4 v -x_3) ^ (x_1 v x_4 v -x_3)]
5,13,6,0.06819748878479004,0.3604879379272461,[(x_2 v -x_0) ^ (x_2 v -x_3) ^ (x_0 v -x_1) ^ (x_0 v -x_4 v -x_2) ^ (-x_4 v -x_2) ^ (x_1 v -x_4) ^ (x_1 v -x_4 v -x_3) ^ (x_1 v x_2) ^ (x_0 v x_1 v x_2) ^ (x_1 v -x_2 v -x_0) ^ (x_0 v x_3 v x_2) ^ (x_3 v -x_4 v -x_2) ^ (x_3 v x_4 v -x_0)]
